Código modular,Código de local,Código de institución,Nombre de IE,Nivel / Modalidad,Forma,Género,Tipo de Gestión,Dependencia,Dirección de IE,Localidad,Centro Poblado,Área Geográfica,Provincia,Distrito,UGEL,Tipo de programa,Turno
1570787,644609,22650076,GERMAN CARO RIOS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PUEBLO LIBRE DE CHILCAPATA,LOS CEDROS DE VILLA,PUEBLO LIBRE DE CHILCAPATA,Rural,Churcampa,Cosme,UGEL Churcampa,No aplica,Mañana
1787779,854466,23283001,JORGE BASADRE GROHMANN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,SANTA ROSA DE LLACUA,Rural,Churcampa,Cosme,UGEL Churcampa,No aplica,Mañana
3057015,916515,26676738,MARISCAL RAMON CASTILLA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,COTAY,Rural,Churcampa,Cosme,UGEL Churcampa,No aplica,Mañana
0275636,183306,26840090,SAN JUAN BAUTISTA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA EL SOL 230,,HUAYTARA,Rural,Huaytará,Huaytara,UGEL Huaytará,No aplica,Mañana
0608539,183405,23989239,NIÑO JESUS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA LIBERTADORES S/N,,AYAVI,Rural,Huaytará,Ayavi,UGEL Huaytará,No aplica,Mañana
0275610,183561,24439501,CESAR VALLEJO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,FUNDO VALENCIA,,CORDOVA,Rural,Huaytará,Córdova,UGEL Huaytará,No aplica,Mañana
1059567,183622,26788374,SANTA TERESITA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE ALTA S/N,,HUAYACUNDO ARMA,Rural,Huaytará,Huayacundo Arma,UGEL Huaytará,No aplica,Mañana
1105899,183679,23294311,INMACULADA CONCEPCION,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON SAYHUACHA S/N,,LARAMARCA,Rural,Huaytará,Laramarca,UGEL Huaytará,No aplica,Mañana
1059583,183801,23294567,CELESTINO MANCHEGO MUÑOZ,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA PLAZA PRINCIPAL S/N,,OCOYO,Rural,Huaytará,Ocoyo,UGEL Huaytará,No aplica,Mañana
1406461,619469,24438937,VIRGEN DE LAS NIEVES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PACOMARCA,,PACOMARCA,Rural,Huaytará,Ocoyo,UGEL Huaytará,No aplica,Mañana
0511071,184061,24441989,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA LOS LIBERTADORES S/N,,PILPICHACA,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1059955,184075,24439194,TECNICO AGROPECUARIO ARTESANAL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,LLILLINTA,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1311695,211111,25737725,INGAHUASI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,INGAHUASI,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1349554,518470,22603884,SAN FELIPE,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,SAN FELIPE,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1349570,518229,26319196,MIGUEL GRAU SEMINARIO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,PICHCCAHUASI,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1403450,616480,25451430,JOSE ANTONIO ENCINAS FRANCO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,SOCCLLABAMBA,Rural,Huaytará,Pilpichaca,UGEL Angaraes,No aplica,Mañana
1438068,580315,25454162,PELAPATA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,PELAPATA,PELAPATA,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1731165,808592,26935709,JOSE DE SAN MARTIN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PIMIENTA,PIMIENTA,PIMIENTA,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
1796440,916718,23989727,22504,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CCOLLPAPATA,,CCOLLPAPATA,Rural,Huaytará,Pilpichaca,UGEL Huaytará,No aplica,Mañana
0801597,184198,23294494,SAN FRANCISCO DE ASIS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,QUERCO,Rural,Huaytará,Querco,UGEL Huaytará,No aplica,Mañana
0553404,184297,26040493,ELEODORO BELLIDO BRAVO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE MUNICIPALIDAD S/N,,QUITO ARMA,Rural,Huaytará,Quito-arma,UGEL Huaytará,No aplica,Mañana
0581256,184476,26301432,JOSE MARIA ARGUEDAS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA PERU S/N,,SAN ANTONIO DE CUSICANCHA,Rural,Huaytará,San Antonio de Cusicancha,UGEL Huaytará,No aplica,Mañana
1105931,184481,22823906,MANUEL GONZALES PRADA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,SACSAQUERO,Rural,Huaytará,San Antonio de Cusicancha,UGEL Huaytará,No aplica,Mañana
1634260,706942,24439437,MARCAS PAMPAPUQUIO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,MARCAS PAMPAPUQUIO,MARCAS PAMPAPUQUIO,Rural,Huaytará,San Antonio de Cusicancha,UGEL Huaytará,No aplica,Mañana
1782259,184400,23986590,22595,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PASAJE TAMBO DE CUSICANCHA,,TAMBO DE CUSICANCHA,Rural,Huaytará,San Antonio de Cusicancha,UGEL Huaytará,No aplica,Mañana
1105972,184589,23984512,SAN FRANCISCO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,SAN FRANCISCO DE SANGAYAICO,Rural,Huaytará,San Francisco de Sangayaico,UGEL Huaytará,No aplica,Mañana
1406479,610459,24438856,SANTA ROSA DE ACORA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,SANTA ROSA DE ACORA,,SANTA ROSA DE ACORA,Rural,Huaytará,San Francisco de Sangayaico,UGEL Huaytará,No aplica,Mañana
1794742,184565,25454324,22586,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,OCORO,Rural,Huaytará,San Francisco de Sangayaico,UGEL Huaytará,No aplica,Mañana
3023330,184546,23293811,22223,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA TINCOCC ULLPAC S/N,,SAN ANTONIO DE TINCOCC ULLPACC,Rural,Huaytará,San Francisco de Sangayaico,UGEL Huaytará,No aplica,Mañana
0687947,184669,26040566,LIBERTADOR SIMON BOLIVAR,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA YERBABUENAYOCC S/N,,SAN ISIDRO DE HUIRPACANCHA,Rural,Huaytará,San Isidro,UGEL Huaytará,No aplica,Mañana
0275644,185032,23294230,JUAN PABLO VIZCARDO Y GUZMAN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA SAN FELIPE S/N,,SANTIAGO DE CHOCORVOS,Rural,Huaytará,Santiago de Chocorvos,UGEL Huaytará,No aplica,Mañana
0687921,185046,24439011,ANDRES AVELINO CACERES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL S/N,,SANTA ANA DE ANDAYMARCA,Rural,Huaytará,Santiago de Chocorvos,UGEL Huaytará,No aplica,Mañana
0687939,185051,24439356,PEDRO PABLO ATUSPARIA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA GENERAL CORDOVA S/N,,SAN MIGUEL DE CURIS,Rural,Huaytará,Santiago de Chocorvos,UGEL Huaytará,No aplica,Mañana
1059724,185131,24439275,APOSTOL SANTIAGO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL,,SANTIAGO DE QUIRAHUARA,Rural,Huaytará,Santiago de Quirahuara,UGEL Huaytará,No aplica,Mañana
1105733,185211,24438775,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA MARIATEGUI S/N,,SANTO DOMINGO DE CAPILLAS,Rural,Huaytará,Santo Domingo de Capillas,UGEL Huaytará,No aplica,Mañana
0581223,185329,23991292,SANTA ROSA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA ALAMEDA S/N,,SANTA ROSA DE TAMBO,Rural,Huaytará,Tambo,UGEL Huaytará,No aplica,Mañana
0217281,185541,23310491,DANIEL HERNANDEZ,Secundaria,Escolarizado,Varones,Pública de gestión directa,Sector Educación,JIRON MANCO CAPAC 152,,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
0372805,185555,24442977,NUESTRA SEÑORA DE LOURDES,Secundaria,Escolarizado,Mixto,Pública de gestión privada,Convenio con Sector Educación,JIRON PROGRESO 551,,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1106657,185621,26378419,DIVINO MAESTRO,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON LA MAR 598,,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1229129,185598,25036621,JESUS DE BELEN,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON LIMA 217,,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1407386,620378,26976219,CASAY,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,OCCOBAMBA CASAY,OCCOBAMBA CASAY,Rural,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1408038,621009,25042311,INGENIERIA,Secundaria,Escolarizado,Mixto,Privada,Particular,AVENIDA PROGRESO 296,MIRAFLORES,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1350727,519177,22705441,ENRIQUE LOPEZ ALBUJAR,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,PUCA ERA,Rural,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1350875,519163,26320658,CESAR VALLEJO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,PACTI,Rural,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1379593,185517,23310724,ABRAHAM VALDELOMAR PINTO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,MANTACRA,MANTACRA,Rural,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
1416437,252192,23308274,ALFONSO UGARTE Y VERNAL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON SAN CRISTOBAL S/N,YACURAQUINA,YACURAQUINA,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana
3025467,906658,25606477,FRANCOIS VIETE,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON MARISCAL CACERES 249 MZ A ETAPA I,,PAMPAS,Urbana,Tayacaja,Pampas,UGEL Tayacaja,No aplica,Mañana y Tarde
0373225,185819,26320811,NUESTRA SEÑORA DE LA ASUNCION,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA HUANCAYO - HUANCAVELICA KM. 38,BARRIO PROGRESO,ACOSTAMBO,Rural,Tayacaja,Acostambo,UGEL Tayacaja,No aplica,Mañana
1350750,519318,24527042,VILLA REAL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,VILLA REAL,PACCHAPATA BAJA,Rural,Tayacaja,Acostambo,UGEL Tayacaja,No aplica,Mañana
1470020,597410,22843540,SAN ANTONIO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,QUINTAOJO,QUINTAOJO,Rural,Tayacaja,Acostambo,UGEL Tayacaja,No aplica,Mañana
0637314,186036,22708414,JOSE MARIA ARGUEDAS ALTAMIRANO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON ALFONSO UGARTE S/N,,ACRAQUIA,Rural,Tayacaja,Acraquia,UGEL Tayacaja,No aplica,Mañana
1060052,186055,22842552,JOSE ANTONIO ENCINAS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,HUASAPUQUIO,Rural,Tayacaja,Acraquia,UGEL Tayacaja,No aplica,Mañana
1350735,519224,23269570,MANUEL GONZALES PRADA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,CENTRO UNION ACRAQUIA,Rural,Tayacaja,Acraquia,UGEL Tayacaja,No aplica,Mañana
1572965,645840,24526968,MICAELA BASTIDAS PUYUCAHUA,Secundaria,Escolarizado,Mujeres,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,ACRAQUIA,ACRAQUIA,Rural,Tayacaja,Acraquia,UGEL Tayacaja,No aplica,Mañana
0600361,186239,23269406,MI PERU,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE MANCHEGO MUÑOZ S/N,,AHUAYCHA,Rural,Tayacaja,Ahuaycha,UGEL Tayacaja,No aplica,Mañana
0687772,186244,22704605,SAN MIGUEL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA MANUEL TORRES S/N,,SAN MIGUEL DE HUALLHUA,Rural,Tayacaja,Ahuaycha,UGEL Tayacaja,No aplica,Mañana
1350826,519304,26301351,SANTIAGO ANTUNEZ DE MAYOLO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,JOSE GALVEZ,NUEVA ESPERANZA,Rural,Tayacaja,Ahuaycha,UGEL Tayacaja,No aplica,Mañana
1572999,645878,24339106,JUAN CARLOS COMUN GAVILAN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,VISTA ALEGRE,VISTA ALEGRE,Rural,Tayacaja,Ahuaycha,UGEL Tayacaja,No aplica,Mañana
1698588,781187,24339289,CIENTIFICO DE LOS ANDES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,CCONOC,Rural,Tayacaja,Ahuaycha,UGEL Tayacaja,No aplica,Mañana
0373266,186814,24443132,SANTIAGO ANTUNEZ DE MAYOLO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE SAN JUAN XXIII,,COLCABAMBA,Urbana,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
0600395,186828,23307774,CIRO ALEGRIA BAZAN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON LOS LIBERTADORES S/N,OCORO,OCORO,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
0743310,186847,23307855,CESAR VALLEJO MENDOZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON SIMON BOLIVAR S/N,CARPAPATA,CARPAPATA,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1059377,186946,22704869,RICARDO PALMA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE SAN ISIDRO S/N,TOCLLACURI,TOCLLACURI,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1059419,186951,22705369,ENRIQUETA SAMANEZ DE HERMOZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA SAN JULIAN,,TOCAS,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1407493,620482,22705512,CARLOS NORIEGA JIMENEZ,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,BARRIO SAN JULIAN,,POCCYACC,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1350768,519238,22446894,JAVIER PRADO UGARTECHE,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA PRINCIPAL S/N,,INDEPENDENCIA,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1379601,786095,25695720,DANIEL ALOMIA ROBLES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,PICHIU / SAN ANTONIO DE PICHIU,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1388859,544737,23296543,MIGUEL GRAU SEMINARIO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,RANRA,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1415033,564867,26320739,JOSE GALVEZ EGUSQUIZA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,CHACHAS,CHACHAS,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1562396,855951,24693856,MARIA INMACULADA CONCEPCION,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA SANTIAGO ANTUNEZ DE MAYOLO S/N ETAPA 0 SECTOR 0,COLCABAMBA,COLCABAMBA,Urbana,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1653377,735303,24339025,LOS LIBERTADORES DE AMERICA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,PILCOS,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1698356,781088,25659015,SANTISIMO DE JESUS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,LA FLORIDA,Rural,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
1767516,838122,26899257,CEPAE,Secundaria,Escolarizado,Mixto,Privada,Particular,JIRON CAHUIDE S/N,CCOLLCCASA,COLCABAMBA,Urbana,Tayacaja,Colcabamba,UGEL Tayacaja,No aplica,Mañana
0743302,187253,24068587,TUPAC AMARU II,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PASAJE TUPAC AMARU S/N,PAMPA BLANCA,PAMPA BLANCA,Rural,Tayacaja,Daniel Hernández,UGEL Tayacaja,No aplica,Mañana
1407592,620627,24442144,MARISCAL CACERES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON JOSE OLAYA S/N,ALLPAHUASI,MARISCAL CACERES,Urbana,Tayacaja,Daniel Hernández,UGEL Tayacaja,No aplica,Mañana
1380245,592634,23310562,SAN JUAN DE PALTARUMI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,SAN JUAN DE PALTARUMI,ROSASPAMPA,SAN JUAN DE PALTARUMI,Rural,Tayacaja,Daniel Hernández,UGEL Tayacaja,No aplica,Mañana
1629732,187074,24442896,MARISCAL CASTILLA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA PERU S/N,MARISCAL CACERES,MARISCAL CACERES,Urbana,Tayacaja,Daniel Hernández,UGEL Tayacaja,No aplica,Mañana
0580415,187470,23993279,SANTA ROSA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA AUGUSTO HINOSTROZA ARROYO S/N,,HUACHOCOLPA,Rural,Tayacaja,Huachocolpa,UGEL Surcubamba,No aplica,Mañana
1525419,615367,24959503,NAVIO COMUN GAVILAN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA TAURIBAMBA,,TAURIBAMBA,Rural,Tayacaja,Huachocolpa,UGEL Surcubamba,No aplica,Mañana
1752922,826341,25191897,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,MARCAVALLE,Rural,Tayacaja,Huachocolpa,UGEL Surcubamba,No aplica,Mañana
0499269,188083,26320402,AUGUSTO SALAZAR BONDY,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA HUANCAVELICA S/N,,HUARIBAMBA,Rural,Tayacaja,Huaribamba,UGEL Tayacaja,No aplica,Mañana
1059617,188144,23269651,MANUEL COVEÑAS NAQUICHE,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA MANUEL MARTICORENA S/N,,ANTA,Rural,Tayacaja,Huaribamba,UGEL Tayacaja,No aplica,Mañana
1407949,620934,25180259,SANTA CRUZ,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA RPINCIPAL,,SANTA CRUZ DE HUALLARQUI,Rural,Tayacaja,Huaribamba,UGEL Tayacaja,No aplica,Mañana
1350859,519200,22446711,JULIO CESAR TELLO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,QUIMLLO,SANTA CRUZ DE INYACC,Rural,Tayacaja,Huaribamba,UGEL Tayacaja,No aplica,Mañana
1376797,538010,24960651,GERMAN CARO RIOS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,AYACANCHA,Rural,Tayacaja,Huaribamba,UGEL Tayacaja,No aplica,Mañana
1059658,188238,22704788,SAN JOSE,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,JIRON MARISCAL CASTILLA S/N,,ÑAHUIMPUQUIO,Rural,Tayacaja,Ñahuimpuquio,UGEL Tayacaja,No aplica,Mañana
0373258,188455,22704941,RAUL PORRAS BARRENECHEA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA BOLIVAR 460,PAZOS,PAZOS,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
0697664,188460,23270471,SAN LUCAS,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,TONGOS,TONGOS,TONGOS,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
1059930,188549,23307510,MANUEL SCORZA TORRES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,MULLACA,MULLACA,MULLACA / SAN PEDRO DE MULLACA,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
1407469,620458,26320577,BERTOLT BRECHT,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA A PAMPAS KM 20,COYLLORPAMPA,COYLLORPAMPA,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
1350784,519196,23307693,JUAN GUTEMBERG,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,CARAMPA,CARAMPA,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
1753383,826708,24338861,SANTA CRUZ DE ILA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CARRETERA PRINCIPAL S/N,,SANTA CRUZ DE ILA,Rural,Tayacaja,Pazos,UGEL Tayacaja,No aplica,Mañana
1407436,620420,23308193,ALEJANDRO TOLEDO MANRIQUE,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,AVENIDA MARISCAL CACERES S/N,BARRIO COCHABAMBA,QUISHUAR,Rural,Tayacaja,Quishuar,UGEL Tayacaja,No aplica,Mañana
0600429,188714,26300363,JOSE CARLOS MARIATEGUI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL S/N,,SALCABAMBA,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
0697680,188728,24442632,JORGE BASADRE GROHMANN,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,AYACCOCHA,AYACOCHA,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
1058148,188813,24443541,ANDRES AVELINO CACERES,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE MANCO CAPAC S/N,,CEDROPAMPA,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
1408111,621066,24443051,CESAR VALLEJO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,MIRAFLORES,MIRAFLORES,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
1423896,572462,23308355,ALIPIO PONCE VASQUEZ,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL ISTAY,,ISTAY HUALCAS,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
1535798,624121,23270544,ANTONIO RAIMONDI,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PARQUE PLAZA PRINCIPAL,,PATAY,Rural,Tayacaja,Salcabamba,UGEL Tayacaja,No aplica,Mañana
3013711,902759,24130940,VIRGEN DE CANDELARIA,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,MATIBAMBA,Rural,Tayacaja,Salcabamba,UGEL Surcubamba,No aplica,Mañana
0580043,189006,23993198,DANIEL ALCIDES CARRION,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,LA LOMA,SALCAHUASI,Rural,Tayacaja,Salcahuasi,UGEL Surcubamba,No aplica,Mañana
0580050,189011,23311062,JOSE SANTOS CHOCANO,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,CALLE PRINCIPAL S/N,LA LOMA,LA LOMA,Rural,Tayacaja,Salcahuasi,UGEL Surcubamba,No aplica,Mañana
1407477,620444,23311143,JESUS DE NAZARET,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,,CHUYAPATA,Rural,Tayacaja,Salcahuasi,UGEL Surcubamba,No aplica,Mañana
1407931,620849,26798353,SANTA ISABEL,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,HUACCAYRUMI,HUACCAYRUMI,Rural,Tayacaja,Salcahuasi,UGEL Surcubamba,No aplica,Mañana
1572973,645859,22655280,ANTONIO BRACK EGG,Secundaria,Escolarizado,Mixto,Pública de gestión directa,Sector Educación,PLAZA PRINCIPAL,PALMAPAMPA,PALMA PAMPA,Rural,Tayacaja,Salcahuasi,UGEL Surcubamba,No aplica,Mañana
